step:431/3080 train_time:221.136s step_avg:513.08ms
step:432/3080 train_time:221.482s step_avg:512.69ms
step:433/3080 train_time:221.831s step_avg:512.31ms
step:434/3080 train_time:222.179s step_avg:511.93ms
step:435/3080 train_time:222.527s step_avg:511.56ms
step:436/3080 train_time:222.875s step_avg:511.18ms
step:437/3080 train_time:223.222s step_avg:510.80ms
step:438/3080 train_time:223.569s step_avg:510.43ms
step:439/3080 train_time:223.918s step_avg:510.06ms
step:440/3080 train_time:224.266s step_avg:509.69ms
step:441/3080 train_time:224.614s step_avg:509.33ms
step:442/3080 train_time:224.961s step_avg:508.96ms
step:443/3080 train_time:225.310s step_avg:508.60ms
step:444/3080 train_time:225.657s step_avg:508.24ms
step:445/3080 train_time:226.005s step_avg:507.88ms
step:446/3080 train_time:226.354s step_avg:507.52ms
step:447/3080 train_time:226.703s step_avg:507.17ms
step:448/3080 train_time:227.049s step_avg:506.81ms
step:449/3080 train_time:227.398s step_avg:506.45ms
step:450/3080 train_time:227.745s step_avg:506.10ms
step:451/3080 train_time:228.093s step_avg:505.75ms
step:452/3080 train_time:228.441s step_avg:505.40ms
step:453/3080 train_time:228.789s step_avg:505.05ms
step:454/3080 train_time:229.138s step_avg:504.71ms
step:455/3080 train_time:229.485s step_avg:504.36ms
step:456/3080 train_time:229.832s step_avg:504.02ms
step:457/3080 train_time:230.181s step_avg:503.68ms
step:458/3080 train_time:230.529s step_avg:503.34ms
step:459/3080 train_time:230.878s step_avg:503.00ms
step:460/3080 train_time:231.226s step_avg:502.67ms
step:461/3080 train_time:231.573s step_avg:502.33ms
step:462/3080 train_time:231.922s step_avg:502.00ms
step:463/3080 train_time:232.270s step_avg:501.66ms
step:464/3080 train_time:232.619s step_avg:501.33ms
step:465/3080 train_time:232.969s step_avg:501.01ms
step:466/3080 train_time:233.315s step_avg:500.68ms
step:467/3080 train_time:233.662s step_avg:500.35ms
step:468/3080 train_time:234.012s step_avg:500.02ms
step:469/3080 train_time:234.360s step_avg:499.70ms
step:470/3080 train_time:234.706s step_avg:499.37ms
step:471/3080 train_time:235.056s step_avg:499.06ms
step:472/3080 train_time:235.405s step_avg:498.74ms
step:473/3080 train_time:235.752s step_avg:498.42ms
step:474/3080 train_time:236.101s step_avg:498.10ms
step:475/3080 train_time:236.449s step_avg:497.79ms
step:476/3080 train_time:236.798s step_avg:497.47ms
step:477/3080 train_time:237.146s step_avg:497.16ms
step:478/3080 train_time:237.494s step_avg:496.85ms
step:479/3080 train_time:237.841s step_avg:496.54ms
step:480/3080 train_time:238.189s step_avg:496.23ms
